component	evidence	source_reference	resolved_digest
kagent-controller	2026-09-15-canary	ghcr.io/kagent-dev/kagent/controller:0.10.1	sha256:878a55478c1727e048d38154158aae41aa701149c6660f78696fe682c7495146
kagent-ui	2026-09-15-canary	ghcr.io/kagent-dev/kagent/ui:0.10.1	sha256:2c4de55d3ffea5b960a41d667e3cd6b59d64d8da4d6d3ccf528fcd17e6fec4a0
kagent-postgresql	2026-09-15-canary	docker.io/library/postgres:18.6-alpine3.23	sha256:697c180dbf244d3ce4a8f4cbc0156cde840af055c1bf8b76aebe422a4822086f
ate-api	2026-09-15-canary	ghcr.io/kagent-dev/substrate/ateapi:v0.0.9	sha256:3c50661b4e7d9e697ada97a97b2a8df563057a2cab5b9e7b0b09060ff80d9e85
ate-controller	2026-09-15-canary	ghcr.io/kagent-dev/substrate/atecontroller:v0.0.9	sha256:dc29e79987fe4177b92c8b30a4fa4f36f3cf1a80937b03a7a8cd3411f98693e5
atelet	2026-09-15-canary	ghcr.io/kagent-dev/substrate/atelet:v0.0.9	sha256:ec3e842a1a0a060192710c34be83354d0b45e8d0e40342384d3b836413c3c8e1
atenet	2026-09-15-canary	ghcr.io/kagent-dev/substrate/atenet:v0.0.9	sha256:15892218c70e736bca06bd9f1134425897f8b9c265428f932de5d6d779e9452a
atenet-agentgateway	2026-09-15-canary	cr.agentgateway.dev/agentgateway:v1.3.0-alpha.1	sha256:95e8d849c44ba31399daf504367ecfcfe2d3d3e59ffd96b1098234353afc3ef7
coredns	2026-09-15-canary	docker.io/coredns/coredns:1.11.1	sha256:1eeb4c7316bacb1d4c8ead65571cd92dd21e27359f0d4917f1a5822a73b75db1
rustfs	2026-09-15-canary	docker.io/rustfs/rustfs:1.0.0-beta.3	sha256:378642b05b7dcb4849fb77ebe6aca4ced1c3f66e7e504247df95a5c9018d3358
valkey	2026-09-15-canary	docker.io/valkey/valkey:8.0	sha256:dbb2de90cb7a60c4f3f7e8d73fcaab69a94c557bb08a064108fa5d5b1814086e
substrate-worker	2026-09-15-canary	ghcr.io/kagent-dev/substrate/ateom-gvisor:v0.0.9	sha256:4aa5631a7e42e247660c12bef21d50c0a6a717fb717752748cc56a1b849a1fbc
golang-adk	2026-09-15-canary	ghcr.io/kagent-dev/kagent/golang-adk:0.10.1	sha256:120353200c0226b322e2830de2844eaf02ae4a4c06e778ee60014e5f6ed4a6d0
pause	2026-09-15-canary	gcr.io/gke-release/pause	sha256:bcbd57ba5653580ec647b16d8163cdd1112df3609129b01f912a8032e48265da
aws-cli	2026-09-15-canary	docker.io/amazon/aws-cli:2.17.0	sha256:643507c10ada7964ca6157b3d799f030b90577643da9955d319a77399ed80d73
busybox	2026-09-15-canary	docker.io/library/busybox:1.36	sha256:73aaf090f3d85aa34ee199857f03fa3a95c8ede2ffd4cc2cdb5b94e566b11662
